FIPS,EP_POV150,EP_AFAM,EP_HISP,EP_ASIAN,RISK_SCORE,HWAV_RISKS
8037,15.5,1.0,29.3,0.6,32.00763602,0.0
8039,11.2,0.3,7.4,1.0,23.38530067,0.0
8041,17.3,5.9,17.5,2.6,93.50938594,0.0
8043,23.3,4.7,13.4,0.7,42.57079224,0.0
8045,15.1,0.5,28.6,0.8,56.41107222,19.34457525
8047,9.1,0.6,8.7,0.0,14.19026408,0.0
8049,15.3,0.7,9.2,0.7,31.56220172,0.0
8051,19.6,0.2,9.6,0.4,23.67165129,0.0
8053,18.8,1.7,9.6,0.4,2.863506204,0.0
8055,21.0,0.1,33.7,0.0,18.19917276,0.0
8057,18.6,0.6,11.0,0.0,1.749920458,0.0
8059,11.4,1.1,15.5,2.8,94.78205536,0.0
8061,29.1,0.3,4.5,0.0,2.958956411,0.0
8063,24.1,0.4,18.8,0.1,49.85682469,0.0
8065,18.8,0.1,26.1,0.5,4.072542157,0.0
8067,17.8,0.5,12.9,0.7,66.33789373,18.26280624
8069,16.7,0.9,11.7,2.1,93.54120267,0.0
8071,30.0,1.1,41.1,0.6,21.82628062,0.0
8073,23.9,7.2,21.9,0.4,11.39039135,0.0
8075,26.1,1.5,17.0,0.8,65.66974228,0.0
8077,22.5,0.7,14.7,1.0,47.34330258,91.88673242
8079,17.5,1.2,4.0,5.5,1.527203309,0.0
8081,25.8,0.6,15.9,0.1,15.24021635,17.88100541
8083,23.4,1.0,12.8,0.8,19.34457525,17.21285396
8085,20.6,0.1,20.6,0.8,25.93063952,25.6442889
8087,22.3,3.1,36.1,0.5,72.35125676,0.0
8089,36.8,0.8,42.2,1.0,17.27648743,0.0
8091,13.7,1.6,2.7,0.0,4.77251034,0.0
8093,14.1,0.3,6.4,0.5,30.63951639,0.0
8095,23.8,0.0,30.6,0.4,27.80782692,0.0
8097,8.0,0.5,10.3,2.3,45.91154948,0.0
8099,29.0,0.8,38.4,0.6,32.23035317,0.0
8101,27.5,1.6,43.2,0.7,79.79637289,0.0
8103,22.7,0.3,10.3,0.6,16.29016863,17.84918867
8105,26.5,0.1,44.4,0.1,25.23067133,0.0
8107,14.1,1.0,7.0,1.4,8.17690105,0.0
